,实体,属性,值
0,0,0,1
1,0,1,2
2,0,1,3
3,1,0,110
4,3,1,9
5,3,1,17
6,3,1,19
7,3,1,28
8,3,1,29
9,3,1,33
10,3,1,46
11,3,1,56
12,3,1,58
13,3,1,60
14,3,1,65
15,3,1,68
16,3,1,70
17,3,1,73
18,3,1,81
19,3,1,82
20,3,1,88
21,3,1,93
22,3,1,98
23,3,1,100
24,3,1,103
25,3,1,108
26,3,1,114
27,3,1,116
28,3,1,121
29,3,1,127
30,4,2,5
31,4,1,6
32,5,2,31
33,6,1,14
34,6,1,24
35,6,1,31
36,6,1,33
37,6,1,41
38,6,1,53
39,6,1,57
40,6,1,68
41,6,1,73
42,6,17,75
43,6,1,97
44,6,1,102
45,6,1,106
46,6,1,110
47,6,1,111
48,6,1,119
49,6,1,123
50,7,3,8
51,10,1,11
52,10,1,12
53,10,1,13
54,11,1,78
55,11,1,104
56,12,1,22
57,12,1,41
58,12,1,73
59,12,1,78
60,12,1,88
61,12,1,100
62,12,29,108
63,12,1,111
64,12,1,113
65,12,1,125
66,13,1,20
67,14,4,15
68,14,1,16
69,16,1,24
70,16,1,26
71,16,1,35
72,16,1,41
73,16,1,63
74,16,1,99
75,16,1,102
76,16,1,110
77,16,1,111
78,16,1,123
79,17,5,18
80,20,6,21
81,22,6,23
82,23,6,111
83,23,6,113
84,23,30,125
85,24,6,25
86,26,7,27
87,29,2,30
88,31,1,32
89,33,6,34
90,35,6,36
91,35,8,37
92,38,6,39
93,38,2,40
94,41,9,42
95,41,6,43
96,41,2,44
97,41,10,45
98,46,11,47
99,46,12,48
100,48,12,56
101,48,12,58
102,48,12,63
103,48,12,81
104,48,12,88
105,48,12,93
106,48,12,98
107,48,12,99
108,48,12,121
109,49,11,50
110,49,12,51
111,49,13,52
112,51,26,98
113,52,13,98
114,53,0,54
115,53,6,55
116,58,14,59
117,59,21,82
118,59,34,133
119,59,34,139
120,59,34,157
121,59,34,175
122,59,34,182
123,59,34,187
124,59,34,195
125,59,34,198
126,59,34,205
127,59,34,208
128,59,34,211
129,59,34,230
130,59,34,235
131,59,34,255
132,59,34,256
133,59,34,265
134,59,34,268
135,59,34,270
136,59,34,275
137,59,34,278
138,59,34,281
139,59,34,293
140,59,34,300
141,59,34,302
142,59,34,322
143,59,34,329
144,59,34,331
145,59,34,337
146,59,34,347
147,59,34,354
148,60,2,61
149,60,1,62
150,63,1,64
151,64,1,68
152,65,15,66
153,65,16,67
154,68,1,69
155,70,9,71
156,70,6,72
157,71,25,88
158,71,25,98
159,73,2,74
160,75,18,76
161,75,1,77
162,78,2,79
163,78,1,80
164,80,1,86
165,82,19,83
166,82,20,84
167,82,22,85
168,86,1,87
169,87,1,175
170,87,1,244
171,88,23,89
172,88,24,90
173,88,13,91
174,88,2,92
175,93,23,94
176,93,13,95
177,93,1,96
178,96,1,108
179,96,1,121
180,100,1,101
181,104,1,105
182,106,27,107
183,107,2,116
184,108,28,109
185,111,2,112
186,112,2,113
187,114,1,115
188,116,6,117
189,116,30,118
190,119,0,120
191,121,31,122
192,123,2,124
193,125,2,126
194,127,32,128
195,129,11,130
196,131,15,132
197,133,33,134
198,133,33,135
199,133,1,136
200,133,1,137
201,133,1,138
202,136,1,139
203,136,1,142
204,136,1,148
205,136,1,157
206,136,1,162
207,136,1,168
208,136,1,173
209,136,1,175
210,136,1,179
211,136,1,190
212,136,1,195
213,136,1,198
214,136,1,205
215,136,1,208
216,136,1,211
217,136,1,217
218,136,1,229
219,136,1,236
220,136,1,239
221,136,1,244
222,136,1,246
223,136,1,248
224,136,1,250
225,136,1,255
226,136,1,258
227,136,1,262
228,136,1,265
229,136,1,268
230,136,1,271
231,136,1,273
232,136,1,275
233,136,1,276
234,136,1,281
235,136,1,282
236,136,1,285
237,136,1,286
238,136,1,293
239,136,1,296
240,136,1,301
241,136,1,302
242,136,1,304
