Source,Target,Type,Id,Label,Weight
曼陀罗[一种被子植物门植物],植物界,undirected,0,界,1
曼陀罗[一种被子植物门植物],双子叶植物纲,undirected,1,纲,1
曼陀罗[一种被子植物门植物],菊亚纲,undirected,2,亚纲,1
曼陀罗[一种被子植物门植物],茄目,undirected,3,目,1
曼陀罗[一种被子植物门植物],茄科,undirected,4,科,1
曼陀罗[一种被子植物门植物],曼陀罗族,undirected,5,族,1
曼陀罗[一种被子植物门植物],曼陀罗属,undirected,6,属,1
曼陀罗[一种被子植物门植物],生物物种,undirected,7,标签,1
曼陀罗[一种被子植物门植物],医学术语,undirected,8,标签,1
孜然[植物],植物界,undirected,9,界,1
孜然[植物],被子植物门,undirected,10,门,1
孜然[植物],双子叶植物纲,undirected,11,纲,1
孜然[植物],原始花被亚纲,undirected,12,亚纲,1
孜然[植物],伞形目,undirected,13,目,1
孜然[植物],伞形科,undirected,14,科,1
孜然[植物],芹亚科,undirected,15,亚科,1
孜然[植物],阿米芹族,undirected,16,族,1
孜然[植物],孜然芹属,undirected,17,属,1
孜然[植物],自然,undirected,18,标签,1
孜然[植物],生物物种,undirected,19,标签,1
孜然[植物],中药,undirected,20,标签,1
蓬蒿,植物界,undirected,21,界,1
蓬蒿,被子植物门,undirected,22,门,1
蓬蒿,菊亚纲,undirected,23,亚纲,1
蓬蒿,菊目,undirected,24,目,1
蓬蒿,菊科,undirected,25,科,1
蓬蒿,春黄菊族,undirected,26,族,1
蓬蒿,茼蒿属,undirected,27,属,1
蓬蒿,茼蒿,undirected,28,种,1
蓬蒿,草本植物,undirected,29,标签,1
蓬蒿,文学,undirected,30,标签,1
颠茄,植物界,undirected,31,界,1
颠茄,被子植物门,undirected,32,门,1
颠茄,双子叶植物纲,undirected,33,纲,1
颠茄,菊亚纲,undirected,34,亚纲,1
颠茄,茄目,undirected,35,目,1
颠茄,茄科,undirected,36,科,1
颠茄,茄族,undirected,37,族,1
颠茄,生物物种,undirected,38,标签,1
颠茄,植物,undirected,39,标签,1
芭蕉[芭蕉属植物],植物界,undirected,40,界,1
芭蕉[芭蕉属植物],被子植物门,undirected,41,门,1
芭蕉[芭蕉属植物],单子叶植物纲,undirected,42,纲,1
芭蕉[芭蕉属植物],芭蕉目,undirected,43,目,1
芭蕉[芭蕉属植物],芭蕉科,undirected,44,科,1
芭蕉[芭蕉属植物],生物物种,undirected,45,标签,1
三色堇[草本植物],植物界,undirected,46,界,1
三色堇[草本植物],被子植物门,undirected,47,门,1
