Id,Label,timeset,modularity_class
9,9,,18
HappyCycle,HappyCycle,,18
Pre-A轮融资,Pre-A轮融资,,18
"动感单车健身品牌",动感单车健身品牌,,18
11,11,,0
"胡玮炜",胡玮炜,,0
"摩拜单车",摩拜单车,,0
14,14,,1
PonyCar,PonyCar,,1
C轮融资,C轮融资,,1
"知合出行",知合出行,,1
16,16,,2
"上海凤凰自行车",上海凤凰自行车,,2
"共享单车",共享单车,,3
"社交",社交,,2
17,17,,2
ofo,ofo,,2
"德国",德国,,2
586,586,,2
"盈利",盈利,,2
"张巳丁",张巳丁,,2
589,589,,77
Uber,Uber,,77
JUMP,JUMP,,77
"美国共享单车初创企业",美国共享单车初创企业,,77
590,590,,3
"日本熊本县",日本熊本县,,3
595,595,,10
"哈啰单车",哈啰单车,,10
"阿里巴巴",阿里巴巴,,10
"增资",增资,,10
596,596,,1
"骑行挖矿",骑行挖矿,,1
"日本",日本,,1
600,600,,13
"永安行",永安行,,13
"上交所",上交所,,13
601,601,,2
"订单",订单,,2
602,602,,2
"哈佛中国论坛午餐会",哈佛中国论坛午餐会,,2
"戴威",戴威,,2
604,604,,0
"联合国环境署",联合国环境署,,0
"世界骑行日",世界骑行日,,0
605,605,,2
"北京",北京,,9
"停车规范",停车规范,,2
606,606,,3
"杭州",杭州,,3
611,611,,9
"南宁",南宁,,9
"共享单车投放",共享单车投放,,54
612,612,,10
LimeBike,LimeBike,,10
B+轮融资,B+轮融资,,10
618,618,,2
"运营新模式",运营新模式,,2
"代理商",代理商,,2
619,619,,4
"悟空单车",悟空单车,,4
"炒作",炒作,,4
620,620,,5
"滴滴出行",滴滴出行,,5
"潜在收购提议",潜在收购提议,,5
622,622,,2
"电子锁",电子锁,,2
624,624,,77
Lyft,Lyft,,77
Motivate,Motivate,,77
"共享单车平台",共享单车平台,,5
626,626,,9
"广州",广州,,9
"互联网租赁自行车运营商中标结果",互联网租赁自行车运营商中标结果,,9
630,630,,10
"共享单车电子围栏",共享单车电子围栏,,9
"禁停区",禁停区,,10
631,631,,2
"估值融资",估值融资,,2
632,632,,2
"联合国开发计划署",联合国开发计划署,,2
"一公里计划",一公里计划,,2
637,637,,0
"全国免押数据",全国免押数据,,0
638,638,,0
"单车零件创意跨界合作",单车零件创意跨界合作,,0
YUUE,YUUE,,0
639,639,,3
"共享单车进小区",共享单车进小区,,3
640,640,,2
"小黄车商标所有人",小黄车商标所有人,,2
"注册商标专用权",注册商标专用权,,2
642,642,,3
"深圳2017年立法计划",深圳2017年立法计划,,3
645,645,,14
"武汉",武汉,,14
648,648,,0
"美团",美团,,0
"共享单车亏损",共享单车亏损,,0
650,650,,77
oBike,oBike,,77
"区块链",区块链,,77
652,652,,2
"信用免押金",信用免押金,,2
655,655,,5
"小蓝单车",小蓝单车,,5
656,656,,0
"一汽轿车",一汽轿车,,0
"摩拜出行",摩拜出行,,0
658,658,,2
661,661,,14
"市场提质增效",市场提质增效,,14
384,384,,0
"新车",新车,,0
385,385,,0
"路易威登",路易威登,,0
"奢侈品牌",奢侈品牌,,0
389,389,,6
H连锁酒店,H连锁酒店,,6
"华住",华住,,6
393,393,,2
"百世物流",百世物流,,2
"公路货物运输合同纠纷",公路货物运输合同纠纷,,2
400,400,,2
"圣诞元旦出行预测报告",圣诞元旦出行预测报告,,2
401,401,,3
"小广告“新地盘”",小广告“新地盘”,,3
403,403,,2
"红包车",红包车,,18
"用户调度车辆",用户调度车辆,,2
405,405,,2
"韩国",韩国,,2
443,443,,77
JumpBike,JumpBike,,77
444,444,,2
"拉勾云人事",拉勾云人事,,2
445,445,,3
Limebike,Limebike,,3
446,446,,9
"青桔单车",青桔单车,,54
"计费规则",计费规则,,9
2345,2345,,0
"骑行雨衣",骑行雨衣,,0
2347,2347,,7
"经纬",经纬,,7
"张颖",张颖,,7
2348,2348,,41
"小鸣单车",小鸣单车,,41
"陈宇莹",陈宇莹,,41
2349,2349,,13
"授权",授权,,13
22,22,,0
OssInversiones,OssInversiones,,0
"国际业务",国际业务,,0
"拉美投资公司",拉美投资公司,,0
24,24,,2
"澳大利亚",澳大利亚,,2
29,29,,0
"王兴",王兴,,0
30,30,,2
33,33,,54
"成都",成都,,54
"《关于鼓励共享单车发展试行意见》",《关于鼓励共享单车发展试行意见》,,54
37,37,,3
"马来西亚",马来西亚,,3
39,39,,0
"英国",英国,,0
42,42,,3
"微信",微信,,3
43,43,,15
GoforeatTech,GoforeatTech,,15
"天使轮融资",天使轮融资,,15
"有得食",有得食,,15
"外卖平台",外卖平台,,15
44,44,,0
"嘀嗒拼车",嘀嗒拼车,,0
45,45,,0
50,50,,5
"支付宝",支付宝,,5
"共享单车畅骑月卡",共享单车畅骑月卡,,5
52,52,,2
NFC支付技术,NFC支付技术,,2
53,53,,2
Curve电子锁拉链器,Curve电子锁拉链器,,2
57,57,,77
"共享电单车",共享电单车,,77
63,63,,2
"导流费",导流费,,2
67,67,,41
"法院",法院,,41
"破产案",破产案,,41
56,56,,8
"云马C1",云马C1,,8
"淘宝",淘宝,,8
"电单车",电单车,,8
68,68,,54
"上海",上海,,54
"共享单车限制令",共享单车限制令,,54
"共享单车新增车辆投放",共享单车新增车辆投放,,54
74,74,,0
"红旗连锁",红旗连锁,,0
75,75,,9
"共享单车投放数量",共享单车投放数量,,9
70,70,,13
"阜阳市出租汽车管理站",阜阳市出租汽车管理站,,13
"网约车经营许可证",网约车经营许可证,,13
80,80,,66
"南京",南京,,66
"无牌共享单车",无牌共享单车,,66
"监管",监管,,66
81,81,,0
"印度",印度,,2
"中国共享单车平台",中国共享单车平台,,0
84,84,,0
"智能停车点",智能停车点,,0
85,85,,2
"智享单车",智享单车,,2
97,97,,10
"融资",融资,,10
78,78,,5
82,82,,9
"北京通州区",北京通州区,,9
"电子围栏试点",电子围栏试点,,9
86,86,,5
"共享单车车锁侵权",共享单车车锁侵权,,5
93,93,,2
"蚂蚁金服",蚂蚁金服,,10
"战略投资",战略投资,,1
"共享单车巨头",共享单车巨头,,2
98,98,,3
"交通部",交通部,,3
100,100,,5
105,105,,18
Gobeebike,Gobeebike,,18
"法国",法国,,18
"香港共享单车",香港共享单车,,18
138,138,,9
"北京西城区",北京西城区,,9
"共享单车数量",共享单车数量,,9
143,143,,3
"假冒二维码",假冒二维码,,3
144,144,,14
"江城易单车",江城易单车,,14
"公共自行车",公共自行车,,14
147,147,,2
"理想国际大厦",理想国际大厦,,2
148,148,,3
149,149,,11
Ola,Ola,,11
"共享单车服务",共享单车服务,,11
