Source,Target,Type,Id,Label,Weight
实体,值,undirected,0,属性,1
矢泽爱,日本,undirected,1,国籍,1
矢泽爱,兵库县,undirected,2,出生地,1
矢泽爱,漫画家,undirected,3,职业,1
矢泽爱,《NANA》,undirected,4,代表作品,1
矢泽爱,女,undirected,5,性别,1
安室奈美惠,日本,undirected,6,国籍,1
安室奈美惠,琉球族,undirected,7,民族,1
安室奈美惠,处女座,undirected,8,星座,1
安室奈美惠,O型,undirected,9,血型,1
安室奈美惠,1977年9月20日,undirected,10,出生日期,1
安室奈美惠,歌手,undirected,11,职业,1
安室奈美惠,演员,undirected,12,职业,1
安室奈美惠,VISION FACTORY,undirected,13,经纪公司,1
安室奈美惠,小室哲哉,undirected,14,老师,1
安室奈美惠,Can You Celebrate,undirected,15,代表作品,1
安室奈美惠,BEST FICTION,undirected,16,代表作品,1
安室奈美惠,史上最大作弊战争,undirected,17,主要作品,1
野村万斋,日本,undirected,18,国籍,1
野村万斋,大和民族,undirected,19,民族,1
野村万斋,白羊座,undirected,20,星座,1
野村万斋,174,undirected,21,身高,1
野村万斋,58,undirected,22,体重,1
野村万斋,狂言师,undirected,23,职业,1
野村万斋,阴阳师,undirected,24,代表作品,1
野村万斋,乱,undirected,25,代表作品,1
野村万斋,傀儡之城,undirected,26,主要作品,1
野村万斋,阴阳师2,undirected,27,主要作品,1
田口淳之介,日本,undirected,28,国籍,1
田口淳之介,大和民族,undirected,29,民族,1
田口淳之介,射手座,undirected,30,星座,1
田口淳之介,AB型,undirected,31,血型,1
田口淳之介,1985年11月29日,undirected,32,出生日期,1
田口淳之介,歌手,undirected,33,职业,1
田口淳之介,演员,undirected,34,职业,1
田口淳之介,有闲俱乐部,undirected,35,代表作品,1
田口淳之介,今天不上班,undirected,36,代表作品,1
田口淳之介,LEGAL HIGH,undirected,37,代表作品,1
上田龙也,日本,undirected,38,国籍,1
上田龙也,大和族,undirected,39,民族,1
上田龙也,天秤座,undirected,40,星座,1
上田龙也,B型,undirected,41,血型,1
上田龙也,歌手,undirected,42,职业,1
上田龙也,杰尼斯事务所,undirected,43,经纪公司,1
上田龙也,敏行快跑,undirected,44,代表作品,1
上田龙也,Runaway～为了心爱的你,undirected,45,代表作品,1
上田龙也,结婚万岁,undirected,46,代表作品,1
上田龙也,新宿SEVEN,undirected,47,主要作品,1
