Source,Target,Type,Id,Label,Weight
0,1,undirected,0,hasActor,1
0,2,undirected,1,hasObject,1
1,2,undirected,2,否认,1
1,139,undirected,3,hasActor,1
1,156,undirected,4,hasRecipient,1
3,4,undirected,5,hasRecipient,1
3,5,undirected,6,hasActor,1
4,5,undirected,7,invest,1
6,7,undirected,8,hasActor,1
6,8,undirected,9,hasActor,1
7,8,undirected,10,co-occurrence,1
9,10,undirected,11,hasActor,1
9,11,undirected,12,hasObject,1
10,11,undirected,13,release,1
12,13,undirected,14,hasActor,1
12,14,undirected,15,hasRecipient,1
13,14,undirected,16,release,1
15,16,undirected,17,hasActor,1
15,17,undirected,18,hasObject,1
16,17,undirected,19,offer,1
18,19,undirected,20,hasActor,1
18,20,undirected,21,hasRecipient,1
19,20,undirected,22,现身,1
21,22,undirected,23,hasActor,1
21,23,undirected,24,hasRecipient,1
21,24,undirected,25,hasObject,1
21,25,undirected,26,hasObject,1
22,23,undirected,27,cooperate,1
22,24,undirected,28,release,1
23,24,undirected,29,release,1
23,25,undirected,30,BelongTo,1
26,27,undirected,31,hasObject,1
26,28,undirected,32,hasObject,1
27,28,undirected,33,提升,1
29,30,undirected,34,hasActor,1
29,31,undirected,35,hasObject,1
30,31,undirected,36,翻倍,1
32,33,undirected,37,hasActor,1
32,34,undirected,38,hasRecipient,1
32,35,undirected,39,hasObject,1
33,34,undirected,40,release,1
33,39,undirected,41,hasActor,1
33,40,undirected,42,release,1
34,35,undirected,43,BelongTo,1
35,39,undirected,44,hasObject,1
35,40,undirected,45,BelongTo,1
36,37,undirected,46,hasActor,1
36,38,undirected,47,hasObject,1
37,38,undirected,48,促进,1
39,40,undirected,49,hasRecipient,1
41,42,undirected,50,hasActor,1
41,43,undirected,51,hasActor,1
42,43,undirected,52,co-occurrence,1
44,45,undirected,53,hasActor,1
44,46,undirected,54,hasObject,1
45,46,undirected,55,取名,1
45,62,undirected,56,hasActor,1
45,173,undirected,57,hasActor,1
46,62,undirected,58,hasRecipient,1
46,173,undirected,59,hasRecipient,1
47,48,undirected,60,hasActor,1
47,49,undirected,61,hasObject,1
48,49,undirected,62,是,1
50,51,undirected,63,hasActor,1
50,52,undirected,64,hasObject,1
51,52,undirected,65,推进,1
53,54,undirected,66,hasActor,1
53,55,undirected,67,hasObject,1
54,55,undirected,68,co-occurrence,1
56,57,undirected,69,hasActor,1
56,58,undirected,70,hasActor,1
57,58,undirected,71,co-occurrence,1
59,60,undirected,72,hasActor,1
59,61,undirected,73,hasRecipient,1
60,61,undirected,74,新作,1
63,64,undirected,75,hasActor,1
63,65,undirected,76,hasObject,1
64,65,undirected,77,offer,1
66,67,undirected,78,hasActor,1
66,68,undirected,79,hasObject,1
67,68,undirected,80,告破,1
69,70,undirected,81,hasActor,1
69,71,undirected,82,hasRecipient,1
69,72,undirected,83,hasObject,1
70,71,undirected,84,release,1
70,72,undirected,85,构建_O,1
70,94,undirected,86,hasActor,1
70,112,undirected,87,hasActor,1
71,72,undirected,88,构建_A,1
71,94,undirected,89,hasRecipient,1
71,112,undirected,90,hasObject,1
73,74,undirected,91,hasActor,1
73,75,undirected,92,hasActor,1
74,75,undirected,93,co-occurrence,1
76,77,undirected,94,hasActor,1
76,78,undirected,95,hasObject,1
77,78,undirected,96,co-occurrence,1
79,80,undirected,97,hasActor,1
79,81,undirected,98,hasObject,1
80,81,undirected,99,co-occurrence,1
82,83,undirected,100,hasActor,1
82,84,undirected,101,hasActor,1
83,84,undirected,102,co-occurrence,1
84,95,undirected,103,hasActor,1
84,96,undirected,104,exit,1
84,113,undirected,105,hasActor,1
84,114,undirected,106,co-occurrence,1
85,86,undirected,107,hasActor,1
85,87,undirected,108,hasObject,1
86,87,undirected,109,推广,1
88,89,undirected,110,hasActor,1
88,90,undirected,111,hasActor,1
89,90,undirected,112,co-occurrence,1
91,92,undirected,113,hasActor,1
91,93,undirected,114,hasObject,1
92,93,undirected,115,release,1
95,96,undirected,116,hasRecipient,1
96,106,undirected,117,hasRecipient,1
96,107,undirected,118,提供_O,1
96,133,undirected,119,hasRecipient,1
96,135,undirected,120,invest,1
96,148,undirected,121,hasActor,1
96,152,undirected,122,hasRecipient,1
96,203,undirected,123,hasRecipient,1
96,204,undirected,124,invest,1
96,213,undirected,125,携,1
96,214,undirected,126,发起,1
96,220,undirected,127,release,1
96,221,undirected,128,实现,1
96,224,undirected,129,晒,1
96,225,undirected,130,发布_O,1
96,226,undirected,131,发布_A,1
96,229,undirected,132,没有投入,1
96,230,undirected,133,cooperate,1
96,236,undirected,134,release,1
96,237,undirected,135,收购_P,1
96,240,undirected,136,join,1
96,243,undirected,137,release,1
96,246,undirected,138,join,1
96,247,undirected,139,BelongTo,1
96,248,undirected,140,设,1
96,217,undirected,141,状告_O,1
96,250,undirected,142,状告_A,1
96,210,undirected,143,投放_O,1
96,208,undirected,144,投放_A,1
96,255,undirected,145,辟谣,1
96,257,undirected,146,release,1
96,261,undirected,147,获,1
96,264,undirected,148,完成,1
96,265,undirected,149,join,1
96,266,undirected,150,达成,1
96,269,undirected,151,cooperate,1
96,272,undirected,152,exit,1
96,273,undirected,153,提交,1
96,277,undirected,154,cooperate,1
96,278,undirected,155,release,1
96,279,undirected,156,join,1
96,280,undirected,157,join,1
96,281,undirected,158,通过,1
96,282,undirected,159,加速,1
96,288,undirected,160,cooperate,1
96,289,undirected,161,开,1
96,291,undirected,162,换_A,1
96,290,undirected,163,join,1
96,292,undirected,164,构建,1
96,293,undirected,165,开展_A,1
96,294,undirected,166,release,1
96,295,undirected,167,release,1
96,268,undirected,168,join,1
96,297,undirected,169,join,1
96,300,undirected,170,cooperate,1
96,301,undirected,171,提供,1
96,305,undirected,172,获_O,1
96,307,undirected,173,exit,1
96,310,undirected,174,接入,1
96,312,undirected,175,倡议,1
96,313,undirected,176,不再,1
96,319,undirected,177,join,1
96,320,undirected,178,join,1
96,323,undirected,179,做,1
96,324,undirected,180,join,1
96,326,undirected,181,晒_O,1
96,327,undirected,182,晒_A,1
96,328,undirected,183,release,1
96,329,undirected,184,cooperate,1
96,330,undirected,185,置换_O,1
96,332,undirected,186,release,1
96,334,undirected,187,release,1
96,335,undirected,188,被诉,1
96,336,undirected,189,剥离,1
96,338,undirected,190,join,1
96,339,undirected,191,设置,1
96,348,undirected,192,release,1
96,349,undirected,193,采用,1
96,350,undirected,194,co-occurrence,1
96,356,undirected,195,超,1
96,358,undirected,196,co-occurrence,1
96,360,undirected,197,出现,1
96,233,undirected,198,release,1
96,361,undirected,199,鼓励,1
96,362,undirected,200,cooperate,1
96,363,undirected,201,release,1
96,366,undirected,202,关闭,1
96,367,undirected,203,cooperate,1
96,368,undirected,204,打造,1
96,369,undirected,205,提供,1
96,370,undirected,206,release,1
96,372,undirected,207,更名,1
96,352,undirected,208,cooperate,1
96,378,undirected,209,现身,1
96,380,undirected,210,join,1
96,383,undirected,211,release,1
96,211,undirected,212,达到,1
96,386,undirected,213,覆盖,1
96,387,undirected,214,release,1
96,391,undirected,215,接受_O,1
96,392,undirected,216,接受_A,1
96,393,undirected,217,恢复_A,1
96,397,undirected,218,新增,1
96,401,undirected,219,cooperate,1
96,402,undirected,220,布局,1
96,405,undirected,221,占据,1
96,407,undirected,222,cooperate,1
96,409,undirected,223,加装,1
96,410,undirected,224,获_O,1
96,252,undirected,225,获_A,1
96,412,undirected,226,release,1
96,413,undirected,227,cooperate,1
96,414,undirected,228,cooperate,1
96,419,undirected,229,release,1
96,421,undirected,230,join,1
96,422,undirected,231,release,1
96,423,undirected,232,release,1
96,424,undirected,233,发布_O,1
96,425,undirected,234,发布_A,1
96,428,undirected,235,不再新增,1
96,435,undirected,236,提升,1
96,436,undirected,237,release,1
96,437,undirected,238,剥离,1
96,438,undirected,239,cooperate,1
96,440,undirected,240,cooperate,1
96,238,undirected,241,join,1
96,444,undirected,242,助推,1
96,205,undirected,243,运营,1
96,445,undirected,244,发,1
96,446,undirected,245,投放,1
96,309,undirected,246,投放,1
96,452,undirected,247,推出_A,1
96,454,undirected,248,join,1
96,455,undirected,249,实现,1
96,457,undirected,250,release,1
96,462,undirected,251,release,1
96,463,undirected,252,设,1
96,116,undirected,253,洽商合并,1
96,464,undirected,254,acquisition,1
96,468,undirected,255,减少,1
96,469,undirected,256,升级,1
96,458,undirected,257,release,1
96,476,undirected,258,cooperate,1
96,478,undirected,259,上线_P,1
96,481,undirected,260,release,1
96,482,undirected,261,cooperate,1
96,490,undirected,262,恢复,1
96,491,undirected,263,join,1
96,377,undirected,264,cooperate,1
96,493,undirected,265,release,1
96,239,undirected,266,join,1
96,496,undirected,267,release,1
96,499,undirected,268,cooperate,1
96,502,undirected,269,出席_P,1
96,507,undirected,270,cooperate,1
96,508,undirected,271,打造,1
96,512,undirected,272,押注,1
96,513,undirected,273,响应,1
96,514,undirected,274,不排除,1
96,515,undirected,275,更新,1
96,308,undirected,276,locate,1
96,516,undirected,277,接洽,1
96,517,undirected,278,竞争,1
96,518,undirected,279,release,1
96,519,undirected,280,release,1
96,520,undirected,281,改善,1
96,521,undirected,282,销毁,1
96,522,undirected,283,启用,1
96,525,undirected,284,release,1
96,526,undirected,285,亮相,1
96,394,undirected,286,调整_O,1
96,531,undirected,287,release,1
96,532,undirected,288,release,1
96,533,undirected,289,release,1
96,536,undirected,290,利用,1
96,537,undirected,291,规范,1
96,538,undirected,292,具备,1
96,540,undirected,293,cooperate,1
96,544,undirected,294,leave,1
96,545,undirected,295,co-occurrence,1
