Source,Target,Type,Id,Label,Weight
21,154,undirected,217,标签,1
21,156,undirected,218,标签,1
22,23,undirected,219,目,1
22,24,undirected,220,属,1
23,25,undirected,221,目,1
23,36,undirected,222,目,1
23,54,undirected,223,目,1
23,72,undirected,224,目,1
23,89,undirected,225,目,1
23,106,undirected,226,目,1
23,108,undirected,227,目,1
23,114,undirected,228,目,1
23,122,undirected,229,目,1
25,26,undirected,230,亚纲,1
25,27,undirected,231,亚科,1
26,28,undirected,232,亚纲,1
26,40,undirected,233,亚纲,1
26,44,undirected,234,亚纲,1
26,58,undirected,235,亚纲,1
26,85,undirected,236,亚纲,1
26,89,undirected,237,亚纲,1
26,93,undirected,238,亚纲,1
26,104,undirected,239,亚纲,1
26,114,undirected,240,亚纲,1
26,115,undirected,241,亚纲,1
26,122,undirected,242,亚纲,1
26,124,undirected,243,亚纲,1
26,125,undirected,244,亚纲,1
27,37,undirected,245,亚科,1
27,72,undirected,246,亚科,1
27,89,undirected,247,亚科,1
27,114,undirected,248,亚科,1
27,122,undirected,249,亚科,1
28,29,undirected,250,目,1
28,30,undirected,251,科,1
28,31,undirected,252,族,1
28,32,undirected,253,属,1
28,33,undirected,254,粤语别称,1
28,34,undirected,255,细胞分裂方式,1
28,35,undirected,256,原产地,1
29,120,undirected,257,目,1
30,48,undirected,258,科,1
30,58,undirected,259,科,1
30,120,undirected,260,科,1
34,54,undirected,261,细胞分裂方式,1
37,38,undirected,262,族,1
37,39,undirected,263,属,1
40,41,undirected,264,目,1
40,42,undirected,265,科,1
40,43,undirected,266,标签,1
41,44,undirected,267,目,1
41,85,undirected,268,目,1
41,104,undirected,269,目,1
41,124,undirected,270,目,1
43,44,undirected,271,标签,1
43,48,undirected,272,标签,1
43,54,undirected,273,标签,1
43,60,undirected,274,标签,1
43,72,undirected,275,标签,1
43,89,undirected,276,标签,1
43,93,undirected,277,标签,1
43,100,undirected,278,标签,1
43,104,undirected,279,标签,1
43,108,undirected,280,标签,1
43,125,undirected,281,标签,1
43,136,undirected,282,标签,1
43,154,undirected,283,标签,1
44,45,undirected,284,属,1
44,46,undirected,285,种,1
44,47,undirected,286,标签,1
47,139,undirected,287,标签,1
48,49,undirected,288,目,1
48,50,undirected,289,亚目,1
48,51,undirected,290,亚科,1
48,52,undirected,291,族,1
48,53,undirected,292,属,1
49,82,undirected,293,目,1
49,109,undirected,294,目,1
50,93,undirected,295,亚目,1
54,55,undirected,296,科,1
54,56,undirected,297,亚科,1
54,57,undirected,298,族,1
55,106,undirected,299,科,1
57,106,undirected,300,族,1
58,59,undirected,301,族,1
60,61,undirected,302,属,1
61,98,undirected,303,属,1
62,63,undirected,304,亚门,1
62,64,undirected,305,亚目,1
62,65,undirected,306,亚科,1
62,66,undirected,307,亚种,1
67,82,undirected,308,纲,1
68,71,undirected,309,门,1
69,115,undirected,310,亚门,1
72,73,undirected,311,族,1
72,74,undirected,312,属,1
72,75,undirected,313,生态习性,1
72,76,undirected,314,生活型,1
72,77,undirected,315,水分,1
72,78,undirected,316,温度,1
72,79,undirected,317,土壤,1
72,80,undirected,318,毒性,1
72,81,undirected,319,标签,1
73,114,undirected,320,族,1
73,122,undirected,321,族,1
80,114,undirected,322,毒性,1
80,159,undirected,323,毒性,1
81,89,undirected,324,标签,1
81,108,undirected,325,标签,1
81,109,undirected,326,标签,1
81,114,undirected,327,标签,1
81,122,undirected,328,标签,1
81,130,undirected,329,标签,1
81,143,undirected,330,标签,1
81,156,undirected,331,标签,1
82,83,undirected,332,科,1
82,84,undirected,333,标签,1
83,109,undirected,334,科,1
84,143,undirected,335,标签,1
84,156,undirected,336,标签,1
86,87,undirected,337,亚科,1
86,88,undirected,338,族,1
90,91,undirected,339,目,1
90,92,undirected,340,种,1
93,94,undirected,341,目,1
93,95,undirected,342,族,1
93,96,undirected,343,属,1
93,97,undirected,344,标签,1
98,99,undirected,345,亚属,1
100,101,undirected,346,科,1
100,102,undirected,347,亚科,1
100,103,undirected,348,族,1
101,104,undirected,349,科,1
101,125,undirected,350,科,1
102,104,undirected,351,亚科,1
103,104,undirected,352,族,1
104,105,undirected,353,属,1
106,107,undirected,354,属,1
109,110,undirected,355,亚科,1
109,111,undirected,356,族,1
109,112,undirected,357,属,1
109,113,undirected,358,种,1
115,116,undirected,359,二名法,1
115,117,undirected,360,目,1
115,118,undirected,361,科,1
115,119,undirected,362,属,1
120,121,undirected,363,属,1
122,123,undirected,364,亚目,1
125,126,undirected,365,种,1
125,127,undirected,366,标签,1
128,129,undirected,367,目,1
130,131,undirected,368,纲,1
130,132,undirected,369,亚纲,1
130,133,undirected,370,目,1
130,134,undirected,371,科,1
130,135,undirected,372,属,1
131,143,undirected,373,纲,1
131,151,undirected,374,纲,1
131,156,undirected,375,纲,1
131,159,undirected,376,纲,1
137,138,undirected,377,拉丁学名,1
139,140,undirected,378,亚纲,1
139,141,undirected,379,目,1
139,142,undirected,380,属,1
143,144,undirected,381,亚纲,1
143,145,undirected,382,目,1
143,146,undirected,383,亚目,1
143,147,undirected,384,科,1
143,148,undirected,385,组,1
143,149,undirected,386,标签,1
143,150,undirected,387,标签,1
144,151,undirected,388,亚纲,1
144,154,undirected,389,亚纲,1
145,151,undirected,390,目,1
145,156,undirected,391,目,1
147,156,undirected,392,科,1
151,152,undirected,393,族,1
151,153,undirected,394,属,1
153,156,undirected,395,属,1
154,155,undirected,396,目,1
156,157,undirected,397,毒性,1
156,158,undirected,398,标签,1
159,160,undirected,399,目,1
159,161,undirected,400,科,1
159,162,undirected,401,属,1
